slug,category,tags
cinco-cosas-que-no-debes-olvidar-al-trabajar-con-datos-abiertos,[open data],[open data]
investigacion-colaborativa-con-git,[git],[open science]
que-es-el-acceso-abierto-y-por-que-debes-tenerlo-en-cuenta-para-tus-investigaciones,[open access],[open science]
plataformas-que-te-ayudaran-en-la-gestion-de-tu-grupo-de-trabajo,[communication],[communication]
ibis-framework,[python],"[python, sql, base de dados, ibis]"
como-aplicar-la-investigacion-reproducible-proyectos-de-codigo-abierto,[open science],[open science]
por-que-deberias-considerar-carpentries-como-una-referencia-para-aprender-ciencia-de-datos,[learning],"[data science, learning, carpentries, ciencia de datos]"
ciencia-abierta,[artificial intelligence],[artificial intelligence]
que-son-las-mentorias-y-como-potencian-los-proyectos-de-ciencia-abierta,[mentoring],[mentoring]
te-hablamos-de-cinco-repositorios-con-datos-abiertos-sobre-paises,[open data],[open science]
como-aplicar-los-principios-de-acceso-abierto-en-tus-investigaciones,[open access],[open science]
visualiza-tus-datos-en-r-con-ggplot-y-gganimate,[r],"[r, visualization]"
que-es-la-ciencia-abierta,[open science],[open science]
dibuja-tus-mapas-en-r-usando-archivos-de-formato-shapefile,[r],"[r, maps, visualization]"
cinco-tips-para-aumentar-tu-productividad-con-git,[git],[versioning]
primeros-pasos-con-rstudio,[ide],"[ide, r, rstudio, rstudio desktop, rstudio server, interfaz de r]"
filtrar-datos-r,[data science],"[open science, r, filtrar datos, dplyr, recursos, data science]"
como-instalar-y-comenzar-utilizar-tensorflow,[machine learning],[machine learning]
que-es-el-lenguaje-r-y-como-puede-ayudarte-en-tus-proyectos,[r],"[open science, r, rstudio, posit, data science, ciencia de datos, rmarkdown]"
caracteristicas-y-tips-utiles-que-te-ayudaran-sacar-el-maximo-provecho-de-conda,[packaging],"[devops, packaging]"
razones-para-usar-python-en-tu-proximo-proyecto-de-investigacion,[python],[open science]
cinco-cosas-que-no-debes-olvidar-al-trabajar-con-markdown,[markdown],[open science]
reorganiza-tus-tablas-con-tidyr,[data science],"[open science, r, filtrar datos, tidyr, data science, columnas a filas, filas a columnas]"
que-son-los-datos-abiertos,[open data],[open science]
te-hablamos-de-las-licencias-mas-utilizadas-en-proyectos-de-ciencia-abierta,[open science],"[open science, license]"
como-instalar-y-comenzar-utilizar-conda,[packaging],"[devops, packaging]"
la-investigacion-abierta-el-manejo-de-repositorios-y-control-de-versiones,[open science],"[open science, versioning]"
cuales-son-los-principios-de-la-investigacion-reproducible,[open science],[open science]
cinco-cosas-que-te-ayudaran-gestionar-mejor-los-datos-de-tus-proximos-proyectos,[data],[open science]
la-investigacion-abierta-podria-cambiar-el-futuro-de-la-investigacion-en-ciencias-puras-te-contamos-por-que,[open science],[open science]
si-pensado-en-como-automatizar-la-construccion-de-citas-en-tu-proyecto-te-contamos-como-hacerlo-posible,[citation],[citation]
los-laboratorios-sociales-y-el-manejo-del-covid-19,[social labs],"[social labs, covid19]"
algunos-proyectos-entretenidos-de-codigo-abierto,[open source],[open source]
crea-una-nube-de-palabras-en-r-partir-de-un-documento-de-texto,[r],"[r, rstudio, nube de palabras, wordcloud, mineria de texto]"
te-contamos-sobre-la-comunidad-ropensci,[open science],"[r, community, open science, ropensci]"
automatizacion-de-tareas-via-bash,[bash],"[bash, automation]"
todo-lo-que-debes-saber-sobre-la-investigacion-colaborativa,[research],[open science]
que-es-el-open-science-framework,[open science],[open science]
como-presentar-tu-codigo-como-un-articulo-cientifico,[science],[science]
algunos-proyectos-de-ciencia-e-inteligencia-ciudadana-para-atender-la-pandemia-del-covid-19,[citizen science],"[open science, citizen science, covid19]"
git-de-en-diez-sencillos-pasos,[git],[versioning]
que-son-los-laboratorios-sociales-y-como-pueden-ayudar-los-equipos-de-investigacion,[social labs],[social labs]
herramientas-de-visualizacion-en-python,[python],"[python, visualization]"
epigraphhub-un-proyecto-de-código-abierto-para-el-analisis-de-datos-de-calidad,[código abierto],"[epigraphhub, código abierto, visualización, datos, datasets]"
que-hemos-aprendido-gracias-la-ciencia-abierta-del-manejo-de-pandemias,[open science],"[open science, pandemic]"
que-es-el-codigo-abierto-y-como-puede-ayudarte,[open source],[open source]
te-mostramos-algunos-repositorios-con-datos-sobre-el-covid-19,[open data],"[open science, covid19]"
aspectos-clave-en-el-manejo-de-equipos-de-ciencia-abierta,[open science],[open science]
todas-las-posibilidades-que-te-ofrece-utilizar-figshare-en-tus-proyectos,[open science ],[open science]
que-es-ciencia-ciudadana,[citizen science],[citizen science]
ethereum-merge-is-coming-pero-que-significa,"[open science, web3, ethereum]","[crypto,ethereum,merge,web3]"
pyopensci-un-promotor-de-la-ciencia-abierta,[open science],"[open science, python, pyopensci, ciencia  abierta, open source]"
ya-probado-los-cuadernos-de-jupyter-te-explicamos-que-son-y-como-te-ayudaran-en-tu-proxima-investigacion,[jupyter],[open science]
que-necesitas-para-desarrollar-en-la-web3,"[open science, web3]","[crypto,roadmap,env,developer,web3]"
te-hablamos-del-uso-de-dashboards-para-visualizacion-de-datos-de-tu-proximo-proyecto,[dashboard],[open science]
si-ya-usas-codigo-abierto-te-contamos-como-puedes-sacarle-mayor-provecho-tu-documentacion-para-tus-articulos-y-publicaciones,[documentation],"[open source, documentation]"
code-abbey-una-plataforma-mejorar-tu-habilidad-en-programacion,[programming],"[open science, programacion, recursos]"
herramientas-de-visualizacion-en-r,[r],"[r, visualization, lattice, ggplot2, tidyverse, ggmap, plotly, shiny]"
como-documentar-tu-proyecto-de-ciencia-abierta,[open science],"[open science, documentation]"
que-es-el-data-version-control-dvc-y-por-que-es-necesario-que-tu-equipo-sepa-como-utilizarlo,[data],"[versioning, data]"
la-importancia-de-la-integridad-en-los-datos-manejados-en-los-dashboards,[dashboard],[dashboard]
te-mostramos-cinco-librerias-en-python-para-tu-proximo-proyecto-de-ciencia-abierta,[open science],"[open science, python]"
apache-superset,[citizen science],"[visualización, dashboard, superset, bi, sql]"
dataverse-y-su-potencial-para-proyectos-de-ciencia-abierta,[open data],"[open science, open data]"
nft-mas-que-un-jpg,[nft],"[nft, blockchain]"
tres-proyectos-de-ciencia-ciudadana-que-te-sorprenderan,[citizen science],[citizen science]
te-ensenamos-lugares-para-aprender-los-fundamentos-de-la-ciencia-abierta,[open science],[open science]
primeros-pasos-con-spyder,[ide],"[ide, interfaz, python, spyder, spyder online]"
